Country,Year,GHG,GHG_Cum,Population,Final_Rank
France,2009,456.46,9870.7327,64707044,15
France,2010,462.68,10333.4163,65027512,15
France,2011,432.76,10766.1715,65342776,15
France,2012,435.61,11201.7799,65659790,15
France,2013,440.85,11642.6284,65972097,15
Germany,1990,1154.11,1154.1051,79433029,5
Germany,1991,1124.88,2278.9863,80013896,5
Germany,1992,1077.85,3356.8365,80624598,5
Germany,1993,1067.83,4424.6664,81156363,5
Germany,1994,1054.47,5479.1406,81438348,5
Germany,1995,1048.40,6527.5369,81678051,5
Germany,1996,1070.54,7598.0736,81914831,5
Germany,1997,1033.63,8631.7003,82034771,5
Germany,1998,1018.27,9649.9683,82047195,5
Germany,1999,981.08,10631.0507,82100243,5
Germany,2000,969.07,11600.1246,82211508,5
Germany,2001,984.35,12584.4776,82349925,5
Germany,2002,967.27,13551.7497,82488495,5
Germany,2003,967.92,14519.6741,82534176,5
Germany,2004,948.62,15468.2937,82516260,5
Germany,2005,927.99,16396.2853,82469422,5
Germany,2006,938.38,17334.6608,82376451,5
Germany,2007,905.90,18240.5621,82266372,5
Germany,2008,912.33,19152.8947,82110097,5
Germany,2009,854.83,20007.7209,81902307,5
Germany,2010,892.20,20899.9209,81776930,5
Germany,2011,863.88,21763.7997,81797673,5
Germany,2012,875.84,22639.6365,80425823,5
Germany,2013,894.06,23533.6935,82132753,5
India,1990,1188.84,1188.8433,870601776,3
India,1991,1244.36,2433.2016,888513869,3
India,1992,1276.45,3709.6532,906461358,3
India,1993,1310.13,5019.7843,924475633,3
India,1994,1357.71,6377.4922,942604211,3
India,1995,1421.67,7799.1615,960874982,3
India,1996,1475.74,9274.8967,979290432,3
India,1997,1532.49,10807.3885,997817250,3
India,1998,1563.06,12370.4469,1016402907,3
India,1999,1639.67,14010.1208,1034976626,3
India,2000,1679.48,15689.601,1053481072,3
India,2001,1711.23,17400.8345,1071888190,3
India,2002,1741.99,19142.8245,1090189358,3
India,2003,1786.52,20929.3489,1108369577,3
India,2004,1883.26,22812.6082,1126419321,3
India,2005,1970.26,24782.8652,1144326293,3
India,2006,2068.22,26851.0841,1162088305,3
India,2007,2208.87,29059.9548,1179685631,3
India,2008,2309.65,31369.6003,1197070109,3
India,2009,2488.68,33858.2846,1214182182,3
India,2010,2592.81,36451.0902,1230984504,3
India,2011,2704.86,39155.9522,1247446011,3
India,2012,2831.36,41987.3078,1263589639,3
India,2013,2909.06,44896.3644,1279498874,3
Indonesia,1990,380.25,380.2543,181436821,10
Indonesia,1991,396.30,776.552,184614740,10
Indonesia,1992,414.63,1191.1812,187762097,10
Indonesia,1993,429.54,1620.7252,190873248,10
Indonesia,1994,444.70,2065.4278,193939912,10
Indonesia,1995,478.74,2544.1687,196957845,10
Indonesia,1996,494.84,3039.0075,199926615,10
Indonesia,1997,515.06,3554.0638,202853850,10
Indonesia,1998,523.52,4077.5822,205753493,10
Indonesia,1999,543.17,4620.7476,208644079,10
Indonesia,2000,538.88,5159.6276,211540428,10
Indonesia,2001,559.09,5718.7211,214448301,10
Indonesia,2002,567.72,6286.4409,217369087,10
Indonesia,2003,597.38,6883.8238,220307809,10
Indonesia,2004,606.24,7490.0653,223268606,10
Indonesia,2005,609.54,8099.6083,226254703,10
Indonesia,2006,632.33,8731.9377,229263980,10
Indonesia,2007,651.77,9383.7027,232296830,10
Indonesia,2008,655.53,10039.2367,235360765,10
Indonesia,2009,681.28,10720.5162,238465165,10
Indonesia,2010,695.42,11415.9343,241613126,10
Indonesia,2011,714.87,12130.8077,244808254,10
Indonesia,2012,721.88,12852.6846,248037853,10
Indonesia,2013,744.34,13597.0249,251268276,10
Iran,1990,250.58,250.5796,56169196,14
Iran,1991,291.35,541.9295,57288039,14
Iran,1992,310.81,852.7423,58130099,14
Iran,1993,310.65,1163.397,58811858,14
Iran,1994,343.26,1506.6552,59501292,14
Iran,1995,357.10,1863.7551,60318632,14
Iran,1996,369.10,2232.8576,61306632,14
Iran,1997,384.41,2617.2699,62426086,14
Iran,1998,390.26,3007.5253,63616065,14
Iran,1999,425.87,3433.3957,64780362,14
Iran,2000,442.73,3876.1249,65850062,14
Iran,2001,455.75,4331.8741,66812736,14
Iran,2002,476.19,4808.0594,67696677,14
Iran,2003,501.18,5309.2347,68522074,14
Iran,2004,535.36,5844.5945,69321953,14
Iran,2005,569.36,6413.951,70122115,14
Iran,2006,611.90,7025.8525,70923164,14
Iran,2007,645.02,7670.8718,71720859,14
Iran,2008,654.02,8324.8967,72530693,14
Iran,2009,673.71,8998.6106,73370982,14
Iran,2010,673.48,9672.0908,74253373,14
Iran,2011,684.56,10356.6512,75184322,14
Iran,2012,662.03,11018.6779,76156975,14
Iran,2013,716.81,11735.4928,77152445,14
Iraq,1990,155.78,155.784,17478455,29
Iraq,1991,124.06,279.8408,17952909,29
Iraq,1992,134.34,414.1829,18468521,29
Iraq,1993,146.18,560.3645,19021967,29
Iraq,1994,146.07,706.4306,19606895,29
Iraq,1995,130.95,837.3831,20217759,29
Iraq,1996,147.51,984.8968,20855408,29
Iraq,1997,180.74,1165.6373,21519356,29
Iraq,1998,161.89,1327.5248,22200835,29
Iraq,1999,160.33,1487.8521,22888600,29
Iraq,2000,185.52,1673.3731,23574751,29
Iraq,2001,191.89,1865.2659,24258794,29
Iraq,2002,179.21,2044.4713,24943793,29
Iraq,2003,165.45,2209.9215,25630426,29
Iraq,2004,164.50,2374.4207,26320530,29
Iraq,2005,173.38,2547.7986,27017712,29
Iraq,2006,173.89,2721.6845,27716983,29
Iraq,2007,172.16,2893.8414,28423538,29
Iraq,2008,185.96,3079.803,29163327,29
Iraq,2009,213.48,3293.2854,29970634,29
Iraq,2010,231.32,3524.6042,30868156,29
Iraq,2011,246.58,3771.1833,31867758,29
Iraq,2012,270.17,4041.3561,32957622,29
Iraq,2013,284.57,4325.924,34107366,29
Italy,1990,491.02,491.0188,56719240,12
Italy,1991,489.21,980.2253,56758521,12
Italy,1992,486.96,1467.1818,56797087,12
Italy,1993,479.62,1946.7968,56831821,12
Italy,1994,474.80,2421.6002,56843400,12
Italy,1995,497.68,2919.2826,56844303,12
Italy,1996,496.24,3415.5244,56860281,12
Italy,1997,500.21,3915.7307,56890372,12
Italy,1998,512.84,4428.5734,56906744,12
Italy,1999,521.03,4949.6019,56916317,12
Italy,2000,525.61,5475.2164,56942108,12
Italy,2001,521.99,5997.208,56974100,12
Italy,2002,531.85,6529.0533,57059007,12
Italy,2003,549.70,7078.7563,57313203,12
Italy,2004,560.69,7639.4506,57685327,12
Italy,2005,558.20,8197.6474,57969484,12
Italy,2006,552.54,8750.1829,58143979,12
Italy,2007,542.72,9292.9053,58438310,12
Italy,2008,525.47,9818.3768,58826731,12
Italy,2009,473.74,10292.1202,59095365,12
Italy,2010,479.11,10771.2302,59277417,12
Italy,2011,470.58,11241.8052,59379449,12
Italy,2012,451.31,11693.1189,59539717,12
Italy,2013,420.82,12113.9433,60233948,12
Japan,1990,1171.04,1171.0379,123537000,4
Japan,1991,1178.61,2349.6506,123921000,4
Japan,1992,1191.20,3540.8524,124229000,4
Japan,1993,1185.38,4726.236,124536000,4
Japan,1994,1238.92,5965.152,124961000,4
Japan,1995,1252.05,7217.202,125439000,4
Japan,1996,1266.55,8483.7566,125757000,4
Japan,1997,1259.31,9743.0695,126057000,4
Japan,1998,1224.82,10967.8929,126400000,4
Japan,1999,1264.85,12232.7463,126631000,4
Japan,2000,1280.90,13513.6437,126843000,4
Japan,2001,1266.23,14779.875,127149000,4
Japan,2002,1300.42,16080.2907,127445000,4
Japan,2003,1304.29,17384.5799,127718000,4
Japan,2004,1298.75,18683.3331,127761000,4
Japan,2005,1303.41,19986.7449,127773000,4
Japan,2006,1287.68,21274.4201,127854000,4
Japan,2007,1330.24,22604.659,128001000,4
Japan,2008,1241.16,23845.8161,128063000,4
Japan,2009,1175.91,25021.7296,128047000,4
Japan,2010,1225.84,26247.5745,128070000,4
Japan,2011,1281.11,27528.6854,127817277,4
Japan,2012,1328.29,28856.9765,127561489,4
Japan,2013,1353.35,30210.3238,127338621,4
"Korea, Rep. (South)",1990,290.73,290.7325,42869283,13
"Korea, Rep. (South)",1991,315.40,606.1327,43295704,13
"Korea, Rep. (South)",1992,340.55,946.6798,43747962,13
"Korea, Rep. (South)",1993,369.31,1315.9849,44194628,13
"Korea, Rep. (South)",1994,395.67,1711.6514,44641540,13
"Korea, Rep. (South)",1995,427.97,2139.6177,45092991,13
"Korea, Rep. (South)",1996,456.52,2596.1388,45524681,13
"Korea, Rep. (South)",1997,480.61,3076.7458,45953580,13
"Korea, Rep. (South)",1998,416.34,3493.0811,46286503,13
"Korea, Rep. (South)",1999,453.46,3946.5435,46616677,13
"Korea, Rep. (South)",2000,510.45,4456.9975,47008111,13
"Korea, Rep. (South)",2001,526.72,4983.7194,47357362,13
"Korea, Rep. (South)",2002,520.57,5504.2914,47622179,13
"Korea, Rep. (South)",2003,527.05,6031.3457,47859311,13
"Korea, Rep. (South)",2004,550.01,6581.3584,48039415,13
"Korea, Rep. (South)",2005,547.72,7129.0762,48138077,13
"Korea, Rep. (South)",2006,556.80,7685.8777,48371946,13
"Korea, Rep. (South)",2007,570.37,8256.2513,48597652,13
"Korea, Rep. (South)",2008,582.62,8838.8718,48948698,13
"Korea, Rep. (South)",2009,596.38,9435.2508,49182038,13
"Korea, Rep. (South)",2010,645.34,10080.594,49410366,13
"Korea, Rep. (South)",2011,670.51,10751.0992,49779440,13
"Korea, Rep. (South)",2012,674.86,11425.9568,50004441,13
"Korea, Rep. (South)",2013,673.54,12099.498,50219669,13
Kuwait,1990,78.38,78.3789,2058832,32
Kuwait,1991,91.62,169.9955,2007110,32
Kuwait,1992,85.89,255.8837,1924000,32
Kuwait,1993,99.09,354.972,1796000,32
Kuwait,1994,110.66,465.6321,1688000,32
Kuwait,1995,117.81,583.445,1637031,32
Kuwait,1996,117.62,701.0649,1637906,32
Kuwait,1997,119.40,820.4647,1686256,32
Kuwait,1998,125.96,946.4289,1766247,32
Kuwait,1999,130.58,1077.0059,1853152,32
Kuwait,2000,134.62,1211.6287,1929470,32
Kuwait,2001,142.19,1353.8188,1990022,32
Kuwait,2002,148.96,1502.7803,2042215,32
Kuwait,2003,154.77,1657.5456,2095993,32
Kuwait,2004,161.61,1819.1544,2166344,32
Kuwait,2005,173.98,1993.1337,2263604,32
Kuwait,2006,176.80,2169.9319,2389498,32
Kuwait,2007,176.25,2346.1843,2538591,32
Kuwait,2008,181.14,2527.3216,2705290,32
Kuwait,2009,188.17,2715.4897,2881243,32
Kuwait,2010,187.29,2902.7787,3059473,32
Kuwait,2011,192.33,3095.1087,3239181,32
Kuwait,2012,196.93,3292.0405,3419581,32
Kuwait,2013,195.78,3487.8208,3593689,32
Libya,1990,93.90,93.9033,4398419,38
Libya,1991,91.26,185.1671,4499210,38
Libya,1992,88.31,273.4752,4596811,38
Libya,1993,89.01,362.4895,4691934,38
Libya,1994,94.34,456.8249,4785488,38
Libya,1995,96.14,552.9654,4878202,38
Libya,1996,98.42,651.3855,4970391,38
Libya,1997,98.11,749.4997,5062160,38
Libya,1998,99.60,849.0959,5153764,38
Libya,1999,98.09,947.1832,5245414,38
Libya,2000,99.96,1047.1448,5337264,38
Libya,2001,103.77,1150.9137,5428303,38
Libya,2002,108.57,1259.4854,5518341,38
Libya,2003,111.37,1370.8585,5609166,38
Libya,2004,115.08,1485.9383,5703224,38
Libya,2005,121.14,1607.0765,5801543,38
Libya,2006,123.41,1730.4817,5907149,38
Libya,2007,122.68,1853.1618,6017794,38
Libya,2008,129.75,1982.9104,6123022,38
Libya,2009,134.23,2117.1428,6208680,38
Libya,2010,139.58,2256.7229,6265697,38
Libya,2011,119.12,2375.8444,6288652,38
Libya,2012,131.88,2507.7249,6283403,38
Libya,2013,133.01,2640.7361,6265987,38
Malaysia,1990,103.21,103.214,18211097,27
Malaysia,1991,112.42,215.6311,18709835,27
Malaysia,1992,120.11,335.739,19204700,27
Malaysia,1993,123.89,459.6241,19700762,27
Malaysia,1994,131.00,590.628,20205992,27
Malaysia,1995,139.22,729.8494,20725374,27
Malaysia,1996,152.76,882.6088,21260881,27
Malaysia,1997,161.50,1044.105,21808125,27
Malaysia,1998,162.85,1206.9505,22358128,27
Malaysia,1999,172.45,1379.4019,22898579,27
Malaysia,2000,183.39,1562.792,23420751,27
Malaysia,2001,191.26,1754.0513,23920963,27
Malaysia,2002,202.38,1956.4337,24401977,27
Malaysia,2003,212.03,2168.4669,24869423,27
Malaysia,2004,227.33,2395.7922,25332026,27
Malaysia,2005,239.31,2635.1026,25796124,27
Malaysia,2006,246.03,2881.1318,26263048,27
Malaysia,2007,264.48,3145.6083,26730607,27
Malaysia,2008,279.23,3424.8376,27197419,27
Malaysia,2009,261.03,3685.8628,27661017,27
Malaysia,2010,279.36,3965.2211,28119500,27
Malaysia,2011,280.65,4245.8729,28572970,27
Malaysia,2012,283.43,4529.305,29021940,27
Malaysia,2013,303.15,4832.4568,29465372,27
Mexico,1990,426.66,426.6553,85609404,9
Mexico,1991,447.05,873.7091,87347208,9
Mexico,1992,453.38,1327.0929,89110043,9
Mexico,1993,468.25,1795.3464,90887097,9
Mexico,1994,496.99,2292.3348,92663664,9
Mexico,1995,479.78,2772.11,94426946,9
Mexico,1996,502.83,3274.9358,96181710,9
Mexico,1997,532.90,3807.8381,97925825,9
Mexico,1998,562.57,4370.4041,99632299,9
Mexico,1999,552.93,4923.3348,101266570,9
Mexico,2000,583.64,5506.9731,102808590,9
Mexico,2001,592.60,6099.5683,104239563,9
Mexico,2002,606.82,6706.3864,105578297,9
Mexico,2003,634.44,7340.8283,106888418,9
Mexico,2004,651.09,7991.9204,108257822,9
Mexico,2005,681.59,8673.5121,109747906,9
Mexico,2006,699.75,9373.2592,111382857,9
Mexico,2007,713.77,10087.0259,113139374,9
Mexico,2008,728.87,10815.8967,114972821,9
Mexico,2009,716.50,11532.3965,116815612,9
Mexico,2010,725.74,12258.1338,118617542,9
Mexico,2011,742.14,13000.2787,120365271,9
Mexico,2012,741.12,13741.3937,122070963,9
Mexico,2013,733.01,14474.4041,123740109,9
Netherlands,1990,197.24,197.2425,14951510,26
Netherlands,1991,204.67,401.9155,15069798,26
Netherlands,1992,203.33,605.2418,15184166,26
Netherlands,1993,208.10,813.3411,15290368,26
Netherlands,1994,208.19,1021.5301,15382838,26
Netherlands,1995,215.52,1237.0509,15459006,26
Netherlands,1996,223.50,1460.5485,15530498,26
Netherlands,1997,214.12,1674.6674,15610650,26
Netherlands,1998,212.56,1887.2261,15707209,26
Netherlands,1999,206.06,2093.2901,15812088,26
Netherlands,2000,204.68,2297.9664,15925513,26
